"Add New Category","Προσθήκη Νέας Κατηγορίας"
"Are you sure you want to do this?","Είστε σίγουρος γι’αυτό;"
"Start Import","Έναρξη εισαγωγής"
NOTICE,ΕΙΔΟΠΟΙΗΣΗ 
"Database Name","Όνομα βάσης δεδομένων"
"User Name","Όνομα Χρήστη"
"Database Host","Database Host"
"Table Prefix","Πρόθεμα Πίνακα"
Size,Δημοσίευση
"Add New Size","Προσθήκη Νέας Δημοσίευσης"
Sheet,Ιστολόγιο
"Go to Sheet Home Page","Πηγαίνετε στην αρχική σελίδα του ιστολόγιου"
"Monthly Archives: %s %s","Μηνιαία Αρχεία: %s %s"
"Search ""%1""","Αναζήτηση ""%1"""
"Recent Sheet Sizes","Πρόσφατες Δημοσιεύσεις"
"Manage %1","Διαχείριση %1"
"Edit %1","Τροποποίηση %1"
"New %1","Νέο %1"
"Create %1","Δημιουργία %1"
"%1 has been saved.","%1 αποθηκέυτηκε."
"Something went wrong while saving this %1. %2","Σφάλμα κατά την αποθήκευση του %1. %2"
'"We can''t delete %1 right now. %2"',"Αδύνατη η διαγραφή του %1 αυτή την στιγμή. %2"
"%1 have been deleted.","%1 διαγράφηκε."
"Parameter ""Status"" missing in request data.","Παράμετρος ""Κατάσταση"" δεν υπάρχει."
"Status Field Name is not specified.","Αδιευκρίνιστο Όνομα Πεδίου Κατάστασης."
'"We can''t change status of %1 right now. %2"',"Αδύνατη η αλλαγή κατάστασης του %1. %2"
"%1 status have been changed.","%1 κατάσταση τροποποιήθηκε."
"Sheet Import","Εισαγωγή Ιστολόγιου"
"Sheet import type is not specified.","Ο τύπος εισαγωγής ιστολογίου δεν έχει καθοριστεί."
"The import process was completed successfully. %1 sizes and %2 categories where imported.","Η διαδικασία εισαγωγής ολοκληρώθηκε με επιτυχία. %1 δημοσιεύσεις και %2 κατηγορίες προστέθηκαν."
"The import process completed. %1 sizes and %2 categories where imported. Some sizes or categories where skipped.<br/> %3 %4","Η διαδικασία εισαγωγής ολοκληρώθηκε με επιτυχία. %1 δημοσιεύσεις και %2 κατηγορίες προστέθηκαν. Μερικές δημοσιεύσεις η κατηγορίες παραλείφθηκαν.<br/> %3 %4"
"Nothing to import.","Δεν υπάρχει κάτι για εισαγωγή."
"Can not make import.","Αδύνατη εισαγωγή."
"Something went wrong: ","Κάτι πήγε στραβά: "
"Sheet Import from WordPress (beta)","Εισαγωγή ιστολόγιου WordPress (beta)"
"Please select","Παρακαλώ επιλέξτε"
"Use Facebook Comments","Χρήση σχολίων Facebook"
"Use Disqus Comments","Χρήση σχολίων Disqus"
"Use Google Comments (beta)","Χρήση σχολίων Google (beta)"
"Yes (With auto trigger)","Ναι (Με auto trigger)"
"Yes (Without auto trigger)","Ναι (Χωρίς auto trigger)"
"Parameter %1 is required","Παράμετρος %1 είναι αναγκαία"
"AheadWorks Sheet Extension not detected.","Πρόσθετο AheadWorks Sheet δεν ανιχνεύθηκε."
"The category URL key contains disallowed symbols.","Η διεύθυνση URL κατηγορίας περιέχει απαγορευμένα σύμβολα."
"The category URL key cannot be made of only numbers.","Η διεύθυνση URL κατηγορίας δεν μπορεί να περιέχει μόνο αριθμούς."
"The size URL key contains disallowed symbols.","Η διεύθυνση URL δημοσίευσης περιέχει απαγορευμένα σύμβολα."
"The size URL key cannot be made of only numbers.","Η διεύθυνση URL δημοσίευσης δεν μπορεί να περιέχει μόνο αριθμούς."
"The tag is already exist.","Η ετικέτα υπάρχει ήδη."
"The tag URL key contains disallowed symbols.","Η διεύθυνση URL ετικέτας περιέχει απαγορευμένα σύμβολα."
"The tag URL key cannot be made of only numbers.","Η διεύθυνση URL ετικέτας δεν μπορεί να περιέχει μόνο αριθμούς."
"Related sizes","Σχετικά άρθρα"
Sizeed:,Αναρτήθηκε:
Categories:,Κατηγορίες:
Tags:,Ετικέτες:
Author:,Συντάκτης:
'"We can''t find sizes matching the selection."',"Δεν βρέθηκαν σχετικές αναρτήσεις."
"Read more &#187","Συνέχεια άρθρου &#187"
"See more","Δείτε περισσότερα"
"Read %1","Ανάγνωση %1"
"&larr Previous","&larr Προηγούμενο"
"Next &rarr","Επόμενο &rarr"
"Related Sizes","Σχετικά άρθρα"
Archive,Αρχείο
"Archive %s","Αρχείο %s"
"Recent Sizes","Πρόσφατα άρθρα"
"RSS Feed","RSS Feed"
"Search sizes here...","Αναζητήστε άρθρα..."
Tags,Ετικέτες
"Designnbuy Extensions","Πρόσθετα Designnbuy"
"Sheet Information","Πληροφορίες Ιστολόγιου"
"Sheet Index Page","Ευρετήριο Ιστολόγιου"
"Size View","Προβολή άρθρων"
"Display Related Sizes","Προβολή σχετικών άρθρων"
"Number of Sizes","Αριθμός άρθρων"
"Display Related Products","Προβολή σχετικών προϊόντων"
"Number of Products","Αριθμός προϊόντων"
Comments,Σχόλια
"Number of Comments","Αριθμός σχολίων"
"Facebook Application ID","Facebook Application ID"
"Preview and Next Size","Προεπισκόπηση και επόμενη δημοσίευση"
"Display Prev. & Next Size Links","Εμφάνιση Προηγ. & Επόμενης Δημοσίευσης"
"Size List","Λίστα Δημοσιεύσεων"
"Sizes Per Page","Δημοσιεύσεις ανά σελίδα"
"Use Lazy Loading","Χρήση φόρτωσης Lazy"
"Automatically load more sizes on page.","Αυτόματη φόρτωση περισσότερων αναρτήσεων στη σελίδα."
"Auto Triger Padding (px)","Αυτόματο Triger Padding (px)"
Author,Συγγραφέας
"Display Author Information","Εμφάνιση πληροφοριών συγγραφέα"
"Display Size List By Author","Εμφάνιση δημοσιεύσεων ανά συγγραφέα"
Sidebar,Πλευρική στήλη
"Search Form Widget","Γραφικό στοιχείο φόρμα αναζήτησης"
"Categories Widget","Γραφικό στοιχείο κατηγοριών"
"Recent Sizes Widget","Γραφικό στοιχείο πρόσφατων δημοσιεύσεων"
"Sizes Number","Αριθμός δημοσιεύσεων"
"Archive Widget","Γραφικό στοιχείο αρχείου"
"Tag Claud Widget","Γραφικό στοιχείο σύννεφου ετικετών"
"Rss Feed","Rss"
"Feed Title","Feed Τίτλος"
"Feed Description","Feed Περιγραφή"
"Product Page","Σελίδα Προϊόντος"
"Permalink Settings","Ρυθμίσεις Permalink"
"Sheet Route","Διαδρομή Ιστολόγιου"
"Permalink Type","Τύπος Permalink"
"Size Route","Διαδρομή Δημοσίευσης"
"Category Route","Διαδρομή Κατηγορίας"
"Archive Route","Διαδρομή Αρχείου"
"Tag Route","Διαδρομή Ετικέτας"
"Author Route","Διαδρομή Συγγραφέα"
"Search Route","Διαδρομή Αναζήτησης"
Social,Κοινωνικά Δίκτυα
"AddThis Enabled","Ενεργοποίηση AddThis"
"AddThis ID","AddThis ID"
"AddThis Language","AddThis Γλώσσα"
"Category Top Navigation","Category Top Navigation"
"Display Sheet Link","Προβολή συνδέσμου ιστολόγιου"
"Sheet Category","Κατηγορία Ιστολόγιου"
"Leave blank to display sizes from all categories.","Αφήστε κενό για την προβολή δημοσιεύσεων απο όλες τις κατηγορίες."
"Custom Template","Custom Template"
Published,Δημοσιευμένο
"Category Information","Πληροφορίες Κατηγορίας"
"Enable Category","Ενεργοποίηση Κατηγορία"
"Category Title","Τίτλος Κατηγορίας"
"Category in Websites","Κατηγορία σε Ιστότοπους"
"-- Please Select --","-- Παρακαλώ Επιλέξτε --"
"Tag Title","Τίτλος Ετικέτας"
"Size Information","Πληροφορίες Δημοσίευσης"
"Enable Size","Ενεργοποίηση Δημοσίευσης"
"Size Title","Τίτλος Δημοσίευσης"
"New Category","Νέα Κατηγορία"
"Additional Options","Επιπλέον Επιλογές"
"Featured Image","Προτεινόμενα Εικόνα"
"Publish Date","Ημερομηνία Δημοσίευσης"
"New Tag","Νέα Ετικέτα"
"Open Graph Metadata","Μεταδεδομένα Open Graph"
"OG Title","Τίτλος OG"
"Leave blank to use Meta Title by default.","Αφήστε κενό για να χρησιμοποιείται ο Μετατίτλος."
"OG Description","Περιγραφή OG"
"Leave blank to use Meta Description by default.","Αφήστε κενό για να χρησιμοποιείται η Μεταπεριγραφή."
"OG Image","Εικόνα OG"
"Leave blank to use Featured Image by default. Allow image type: jpg  jpeg  gif  png.","Αφήστε κενό για να χρησιμοποιείται η Χαρακτηριστική Εικόνα. Επιτρεπόμενοι τύποι αρχείων εικόνας: jpg  jpeg  gif  png."
"OG Type","Τύπος OG"
"Leave blank to use ""article"" type by default."," Αφήστε κενό για να χρησιμοποιείται ο τύπος ""άρθρο""."
"Size in Websites","Δημοσίευση σε Ιστοσελίδες"
"Related Sizes and Products","Σχετικές Δημοσιεύσεις και Προϊόντα."
"Related sizes are shown to customers in addition to the item the customer is looking at.","Σχετικές δημοσιεύσεις εμφανίζονται στον χρήστη εκτός από το Προϊόν που παρακολουθεί ήδη."
"Add Related Size","Προσθήκη Σχετικής Δημοσίευσης"
"Add Related Sizes","Προσθήκη Σχετικών Δημοσιεύσεων"
"Add Selected Sizes","Προσθήκη Επιλεγμένων Δημοσιεύσεων"
"January","Ιανουαρίου"
"February","Φεβρουαρίου"
"March","Μαρτίου"
"April","Απριλίου"
"May","Μαΐου"
"June","Ιουνίου"
"July","Ιουλίου"
"August","Αυγούστου"
"September","Σεπτεμβρίου"
"October","Οκτωβρίου"
"November","Νοεμβρίου"
"December","Δεκεβρίου"
"Jan","Ιαν"
"Feb","Φεβ"
"Mar","Μαρ"
"Apr","Απρ"
"May","Μαϊ"
"Jun","Ιουν"
"Jul","Ιουλ"
"Aug","Αυγ"
"Sep","Σεπ"
"Oct","Οκτ"
"Nov","Νοε"
"Dec","Δεκ"
"Reply","Απάντηση"
"Show more replies in this thread","Προβολή περισσότερων απαντήσεων στην ανάρτηση"
"%1 Comment(s)","%1 Σχόλιο(α)"
"Add a comment...","Προσθήκη σχολίου..."
"Add a reply...","Προσθήκη απάντησης..."
"Sign in to add a comment...","Συνδεθείτε για την προσθήκη σχολίου..."
"Sign in to add a reply...","Συνδεθείτε για την προσθήκη απάντησης..."
"Full Name","Πλήρες Όνομα"
"Load more comments","Φόρτωση περισσότερων σχολίων"
"Login to submit comment","Συνδεθείτε για την υποβολή σχολίων"
"You cannot size comment. Sheet size is not longer exist.","Αδύνατη η ανάρτηση σχολίων. Η δημοσίευση δεν υπάρχει πια."
"You cannot reply to this comment. Comment is not longer exist.","Αδύνατη η απάντηση σε αυτό το σχόλιο. Το σχόλιο δεν υπάρχει πια."
"You cannot reply to this comment.","Δεν μπορείτε να απαντήσετε σε αυτό το σχόλιο."
"You submitted your comment for moderation.","Υποβάλατε το σχόλιό σας για έλεγχο."
"Thank you for your comment.","Ευχαριστούμε για το σχόλιο σας."
"Import Categories","Εισαγωγή Κατηγοριών"
"Import Comments","Εισαγωγή Σχολίων"
"Import Sizes","Εισαγωγή Δημοσιεύσεων"
"Import from aheadWorks Sheet Extension","Εισαγωγή από πρόσθετο Ιστολόγιου aheadWorks"
"Import from Joomla","Εισαγωγή από Joomla"
"Import from Sheetger.com","Εισαγωγή από Sheetger.com"
"Import from Drupal","Εισαγωγή από Drupal"
"Import from CSV","Εισαγωγή από CSV"
"Import from XML","Εισαγωγή από XML"
