"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Address","Address"
"An error occurred while deleting record(s).","An error occurred while deleting record(s)."
"City","City"
"Country","Country"
"Create New Storelocator","Create New Storelocator"
"Delete Storelocator","Delete Storelocator"
"Edit Storelocator '%1'","Edit Storelocator '%1'"
"Email","Email"
"Enable","Enable"
"ID","ID"
"Image","Image"
"Latitude","Latitude"
"Longitude","Longitude"
"New Storelocator","New Storelocator"
"Phone","Phone"
"Pincode","Pincode"
"Please Select Storelocators.","Please Select Storelocators."
"Save Storelocator","Save Storelocator"
"Save and Continue Edit","Save and Continue Edit"
"Something went wrong while saving the Storelocator.","Something went wrong while saving the Storelocator."
"State","State"
"Store Title","Store Title"
"Storelocator %1","Storelocator %1"
"Storelocator Information","Storelocator Information"
"Storelocator to delete was not found.","Storelocator to delete was not found."
"Storelocator","Storelocator"
"Storelocators","Storelocators"
"The Storelocator has been deleted.","The Storelocator has been deleted."
"The Storelocator has been saved.","The Storelocator has been saved."
"This Storelocator no longer exists.","This Storelocator no longer exists."
"Zoom Level","Zoom Level"
